[7, 40, 83, 89]
[7, 40, 89, 111]
[7, 46, 89, 111]
[0, 9, 10, 72]
[9, 10, 72, 88]
[9, 72, 88, 128]
[9, 72, 88, 90]
[9, 67, 72, 88]
[9, 25, 72, 88]
[9, 72, 88, 98]
[9, 32, 72, 88]
[9, 31, 72, 88]
[9, 72, 88, 105]
[9, 72, 88, 92]
[9, 72, 88, 130]
[9, 70, 72, 88]
[9, 72, 88, 95]
[9, 72, 88, 112]
[9, 11, 72, 88]
[9, 72, 88, 113]
[9, 72, 88, 141]
[41, 72, 88, 141]
[68, 72, 88, 141]
[72, 88, 90, 141]
[67, 72, 88, 141]
[25, 72, 88, 141]
[72, 88, 98, 141]
[32, 72, 88, 141]
[19, 72, 88, 141]
[72, 88, 141, 147]
[72, 88, 104, 141]
[72, 88, 95, 141]
[21, 72, 88, 141]
[18, 72, 88, 141]
[63, 72, 88, 141]
[72, 80, 88, 141]
[72, 88, 112, 141]
[10, 72, 88, 141]
[10, 68, 72, 88]
[10, 72, 88, 126]
[10, 36, 72, 88]
[10, 72, 88, 122]
[10, 72, 88, 89]
[10, 44, 72, 88]
[10, 72, 88, 104]
[10, 72, 88, 112]
[10, 11, 72, 88]
[10, 72, 88, 113]
[72, 88, 113, 128]
[72, 88, 113, 126]
[67, 72, 88, 113]
[25, 72, 88, 113]
[32, 72, 88, 113]
[19, 72, 88, 113]
[47, 72, 88, 113]
[72, 88, 113, 117]
[72, 88, 105, 113]
[72, 88, 113, 122]
[72, 88, 89, 113]
[72, 88, 104, 113]
[21, 72, 88, 113]
[18, 72, 88, 113]
[72, 82, 88, 113]
[63, 72, 88, 113]
[63, 68, 72, 88]
[63, 72, 88, 126]
[25, 63, 72, 88]
[32, 63, 72, 88]
[19, 63, 72, 88]
[31, 63, 72, 88]
[36, 63, 72, 88]
[63, 72, 88, 147]
[63, 72, 80, 88]
[63, 72, 88, 117]
[63, 72, 88, 89]
[63, 72, 82, 88]
[41, 72, 82, 88]
[72, 82, 88, 126]
[72, 82, 88, 90]
[25, 72, 82, 88]
[31, 72, 82, 88]
[40, 72, 82, 88]
[70, 72, 82, 88]
[44, 72, 82, 88]
[72, 80, 82, 88]
[11, 72, 82, 88]
[72, 82, 88, 117]
[72, 82, 88, 122]
[72, 82, 88, 89]
[72, 82, 88, 104]
[18, 72, 82, 88]
[18, 68, 72, 88]
[18, 72, 88, 126]
[18, 72, 88, 90]
[18, 25, 72, 88]
[18, 72, 88, 98]
[18, 32, 72, 88]
[18, 40, 72, 88]
[18, 36, 72, 88]
[18, 72, 88, 92]
[18, 72, 88, 147]
[18, 44, 72, 88]
